DirectorID,DirectorName,MovieCount,Director_AvgRating
nm0791542,Eldar Shengelaia,11,8.218181818
nm0521730,Robin Lough,6,8.216666667
nm0901404,Nikolai Volev,7,8.214285714
nm1282420,Michael B. Clifford,3,8.2
nm0666675,Jayoo Patwardhan,3,8.2
nm0881279,Lee Unkrich,5,8.2
nm6717590,M. Manikandan,3,8.2
nm3953009,Christian Tod,3,8.2
nm3789142,Mirko Pincelli,3,8.2
nm2875023,Spencer T. Folmar,3,8.2
nm1434000,Jim Fields,5,8.2
nm0926911,Nick Wickham,6,8.2
nm0666676,Nachiket Patwardhan,3,8.2
nm0606835,Nick Morris,3,8.2
nm1382174,Christian de Rezendes,3,8.2
nm0002156,Tengiz Abuladze,9,8.188888889
nm0225630,Deborah Dickson,6,8.183333333
nm1045873,Saimir Kumbaro,6,8.183333333
nm1086360,Dietmar Post,5,8.18
nm3283906,Nishtha Jain,5,8.18
nm1086262,Luc??a Palacios,5,8.18
nm0054574,Raja Bargir,4,8.175
nm2157182,Jayantha Chandrasiri,4,8.175
nm0158918,Goderdzi Chokheli,8,8.175
nm0335871,Alexander Grasseck,3,8.166666667
nm2780866,Marek Tomasz Pawlowski,3,8.166666667
nm3642647,Paresh Mokashi,3,8.166666667
nm0179872,Stefan Corinth,3,8.166666667
nm3634923,Ahmed Rashwan,3,8.166666667
nm1939860,Damon Ristau,3,8.166666667
nm1583736,Zolt??n T??r??k,3,8.166666667
nm1762984,Viktoria Vellopoulou,3,8.166666667
nm3589542,Jeroen Van Der Stock,3,8.166666667
nm0718804,Mate Relja,3,8.166666667
nm1326086,Mike Hill,5,8.16
nm5756213,Suni,5,8.16
nm0644183,Rasim Ojagov,11,8.154545455
nm0447863,Christopher Kenneally,6,8.15
nm0589130,Peter Miller,7,8.142857143
nm0432623,Winfried Junge,10,8.14
nm0382337,Walter Heynowski,5,8.14
nm0771209,Gerhard Scheumann,5,8.14
nm1075855,Anar Rzayev,3,8.133333333
nm2685552,Paulo Henrique Fontenelle,3,8.133333333
nm1580738,James Pellerito,3,8.133333333
nm0526199,K??tia Lund,3,8.133333333
nm0363596,Kelly Harms,3,8.133333333
nm3855174,Gianluca Zonta,3,8.133333333
nm1480727,Bibi Bozzato,3,8.133333333
nm3562580,Alex Fegan,3,8.133333333
nm2518732,Kranti Kanad??,3,8.133333333
nm4216721,Jatinder Mauhar,3,8.133333333
nm0611029,Denis Mueller,3,8.133333333
nm0605049,Susan Morgan Cooper,3,8.133333333
nm4508916,Sam Khoze,3,8.133333333
nm2122786,Herbert Sveinbj??rnsson,3,8.133333333
nm6527118,Leon Lee,3,8.133333333
nm2716176,Shoaib Mansoor,3,8.133333333
nm2513694,Yorgos Avgeropoulos,3,8.133333333
nm1602099,David Barba,3,8.133333333
nm2611428,Dawn Gifford Engle,5,8.12
nm0712430,Ravi,5,8.12
nm0158523,Rezo Chkheidze,10,8.12
nm7547471,Alexander Popov,3,8.1
nm1715501,Rory Karpf,4,8.1
nm0255528,Danae Elon,5,8.1
nm0019593,Fikret Aliev,3,8.1
nm2845072,Steve Dorst,3,8.1
nm1619378,Eric Merola,4,8.1
nm6342685,Kai Zastrow,3,8.1
nm4414980,Aris Chatzistefanou,4,8.1
nm2057035,Jon Klaczkiewicz,3,8.1
nm1203068,Radislav Ivanov Gonzo,3,8.1
nm1068937,Dayaram Dahal,3,8.1
nm0907991,Luke Walker,3,8.1
nm0154206,Kartick Chattopadhyay,3,8.1
nm7679856,Yugo Serikawa,3,8.1
nm6066050,Josie Rourke,3,8.1
nm3085823,Florent de La Tullaye,4,8.1
nm0393025,Istv??n Homoki Nagy,4,8.1
nm3630885,Adam Lee Hamilton,4,8.1
nm1956560,Renaud Barret,4,8.1
nm1371526,Dilip Mukherjee,10,8.1
nm0411351,Rasim Ismailov,3,8.1
nm0619056,T.S. Nagabharana,12,8.091666667
nm1699123,Emir Skalonja,9,8.088888889
nm0691354,Stole Popov,6,8.083333333
nm0897200,Vijay,15,8.08
nm1053837,Shawney Cohen,5,8.08
nm0027370,Robin Anderson,4,8.075
nm2167912,Daniel Nearing,4,8.075
nm0850169,Rajen Tarafder,4,8.075
nm2297386,B??atrice Bakhti,4,8.075
nm0657424,Temuri Palavandishvili,4,8.075
nm3740964,Amel Tresnjic,3,8.066666667
nm1083864,Scot McFadyen,9,8.066666667
nm0369580,Matthew Hausle,3,8.066666667
nm0385978,David Hinton,3,8.066666667
nm1363250,Gabriela Cowperthwaite,3,8.066666667
nm0933876,Mike Wilson,3,8.066666667
nm0710563,Kamalakara Kameshwara Rao,16,8.05625
nm0539950,David Mallet,4,8.05
nm3109770,Neeraj Pandey,4,8.05
nm0045024,Temur Babluani,4,8.05
nm1100276,Olga Sp??tov??,4,8.05
nm0080526,Laura Bialis,4,8.05
nm0034820,Gonzalo Arijon,4,8.05
nm0201187,Attila Dargay,4,8.05
nm2685328,Danny Ben-Moshe,4,8.05
nm0437031,S.R. Puttana Kanagal,23,8.047826087
nm0149812,Utpalendu Chakrabarty,5,8.04
nm0432719,John Junkerman,5,8.04
nm0006249,Satyajit Ray,30,8.036666667
nm0621956,Ali Nassar,3,8.033333333
nm4453850,Filip Svarm,3,8.033333333
nm0528314,Harry Lynch,3,8.033333333
nm4274575,Vetrimaaran,3,8.033333333
nm1735513,Thorkell S. Hardarson,3,8.033333333
nm0690454,Jean-Pierre Ponnelle,9,8.033333333
nm3336371,Byron Q.,3,8.033333333
nm1394648,Paul Pissanos,3,8.033333333
nm1157637,Elias Pate,3,8.033333333
nm1681049,Alexander Nanau,3,8.033333333
nm1154498,Bryan Young,3,8.033333333
nm1077724,Christopher Dillon Quinn,3,8.033333333
nm0577149,A.V. Meiyappan,3,8.033333333
nm0338316,Sam Green,3,8.033333333
nm0304752,Branko Gapo,6,8.033333333
nm0148987,Scott Cervine,3,8.033333333
nm1165997,Sari Raissa Lluch Dalena,3,8.033333333
nm0771515,P??l Schiffer,3,8.033333333
nm0028968,Radivoje Andric,3,8.033333333
nm3174627,Patrick Daly,3,8.033333333
nm1622441,Brett Harvey,3,8.033333333
nm1567453,??rn Marino Arnarson,3,8.033333333
nm0591036,Bady Minck,3,8.033333333
nm0281120,Lisette Marie Flanary,3,8.033333333
nm0004206,Goran Gajic,3,8.033333333
nm3329219,Jeremy Herrin,3,8.033333333
nm3039858,David Lassman,3,8.033333333
nm1126245,Branko Istvancic,7,8.028571429
nm0703850,Gordon Quinn,8,8.025
nm1157811,Pete McCormack,4,8.025
nm0744605,Miles Roston,4,8.025
nm1643821,Joe Scott,4,8.025
nm1150930,Huseyn Seyidzadeh,4,8.025
nm1033181,Kamalakar Torne,4,8.025
nm0713576,Kavi Raz,4,8.025
nm0744364,Fr??d??ric Rossif,8,8.025
nm0566754,Jack McCoy,5,8.02
nm1509561,Paul Wittenberger,5,8.02
nm0557044,Mai Masri,6,8.016666667
nm1217568,Darmasena Pathiraja,7,8.014285714
nm0592471,Fran??ois Miron,7,8.014285714
nm0012345,J??rg Adolph,4,8
nm0354565,Hysen Hakani,3,8
nm0671708,Bhalji Pendharkar,9,8
nm0459908,Vanca Kljakovic,5,8
nm1761719,Natalia Armienta,3,8
nm0007714,Devi Abashidze,3,8
nm3091740,Brian Darwas,4,8
nm2039679,Ibtisam Mara'ana,5,8
nm0791685,Tom Shepard,3,8
nm0011276,R.J. Adams,6,8
nm3078995,Ilian Djevelekov,3,8
nm1671971,Jeremy Earp,3,8
nm0742466,Nina Rosenblum,6,8
nm1252974,Nasser Refaie,3,8
nm0530802,Mallikharjuna Rao M.,4,8
nm0233370,Gregory Doran,4,8
nm0125638,Matthew Buzzell,3,8
nm2152367,Ivette L??cker,3,8
nm0594503,Hayao Miyazaki,12,7.991666667
nm0846552,Tofig Taghizade,11,7.990909091
nm0953508,John Zaritsky,8,7.9875
nm0821552,Ludmil Staikov,6,7.983333333
nm1335449,B. Bhaskara Rao,6,7.983333333
nm1103147,Igor Mirkovic,5,7.98
nm1031494,Arabinda Mukhopadhyay,5,7.98
nm1098369,Ross MacGibbon,5,7.98
nm3096311,Ali Shifau,5,7.98
nm2829542,Paul Dugdale,13,7.976923077
nm0847766,Ran Tal,4,7.975
nm0242757,Sam Dunn,8,7.975
nm2036391,Paula Fouce,4,7.975
nm5859920,Filip Christensen,4,7.975
nm1384255,Victoria Bruce,4,7.975
nm0089821,Jerry Blumenthal,4,7.975
nm1167586,Hasan Seyidbayli,4,7.975
nm1385389,Karin Hayes,4,7.975
nm0001104,Frank Darabont,4,7.975
nm1095779,Biresh Chatterjee,4,7.975
nm0931747,Sue Williams,4,7.975
nm0274519,Agostino Ferrente,3,7.966666667
